system:index,AOD,date,.geo
MCD19A2_A2019171_h24v05_061_2023127040010_04,429.890290037831,2019-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019172_h24v05_061_2023127043202_02,442.0,2019-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019172_h24v05_061_2023127043202_04,349.5538971807628,2019-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019174_h24v05_061_2023127052625_03,393.22194199243376,2019-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019176_h24v05_061_2023127060245_01,303.4829760403531,2019-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019177_h24v05_061_2023127063119_02,327.63430012610337,2019-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019177_h24v05_061_2023127063119_03,477.43631778058005,2019-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019178_h24v05_061_2023127070901_01,355.03404791929387,2019-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019178_h24v05_061_2023127070901_03,360.655737704918,2019-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019178_h24v05_061_2023127070901_04,500.8427835051546,2019-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019179_h24v05_061_2023127072819_02,569.0973236009733,2019-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019179_h24v05_061_2023127072819_03,443.59394703657,2019-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019179_h24v05_061_2023127072819_04,328.25598991172757,2019-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019180_h24v05_061_2023127074722_03,546.7452711223203,2019-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019180_h24v05_061_2023127074722_04,434.5876418663304,2019-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019181_h24v05_061_2023127082449_02,435.6128625472887,2019-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019181_h24v05_061_2023127082449_04,350.9445145018916,2019-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019182_h24v05_061_2023127234834_03,423.3064312736444,2019-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019182_h24v05_061_2023127234834_04,455.1538461538461,2019-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019183_h24v05_061_2023128002732_01,546.7793190416141,2019-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
