Date,Average of Temp_2m (celsius),Average of wind_speed,Average of relative_humidity %
1/14/2020,12.23934835,2.754292556,73.92234802
1/15/2020,12.41071981,1.385452785,67.78406779
1/16/2020,14.42558696,2.509893272,56.78888957
1/17/2020,14.13394063,1.192333578,54.80158488
1/18/2020,14.06347046,1.144319018,58.96514893
1/19/2020,14.44451803,1.855028639,44.19619243
1/20/2020,15.10990295,1.493097368,35.2969106
1/21/2020,10.43982849,2.779808405,76.55881246
1/22/2020,14.17254536,2.525895522,55.24495443
1/23/2020,14.68099366,2.937612133,41.3424174
1/24/2020,14.86728312,1.921800234,31.15905762
1/25/2020,14.98665262,0.998244771,39.85806783
1/26/2020,16.17194519,1.137214878,48.26924642
1/27/2020,16.27024232,1.363092774,48.25281779
1/28/2020,10.65734762,2.813818793,84.63088989
1/29/2020,11.37849834,4.068770058,87.74024963
1/30/2020,13.23170878,1.912441577,71.34717306
1/31/2020,13.83038228,1.087286394,61.62010193
2/1/2020,14.40715943,1.351850558,61.67350769
2/2/2020,15.49511617,2.624836914,42.22373962
2/3/2020,15.7713206,1.146311705,42.21883138
2/4/2020,12.58379008,1.027050911,67.41757711
2/5/2020,14.79995626,2.919442321,46.26976013
2/6/2020,14.85378927,1.79044593,47.0619456
2/7/2020,15.94320068,2.312995005,41.45795186
2/8/2020,16.68982849,1.05948973,32.3836263
2/9/2020,17.05033772,1.226286928,43.00013224
2/10/2020,17.32758993,2.203173352,43.78918966
2/11/2020,16.08881531,2.984428643,50.01001994
2/12/2020,16.62316283,2.055699646,56.97591146
2/13/2020,17.38577677,1.514603913,63.72718811
2/14/2020,18.75997315,4.291726815,50.56259155
2/15/2020,20.10791931,2.390344843,24.52346802
2/16/2020,20.57154236,3.036109877,20.85751851
2/17/2020,21.12278137,3.101874666,11.36299133
2/18/2020,21.37269747,1.812752141,10.92857361
2/19/2020,19.59707031,3.181898523,32.16827393
2/20/2020,15.48589986,4.422525803,65.47663371
2/21/2020,18.90091857,1.84788343,29.69741821
2/22/2020,19.92770792,2.529671602,51.26256307
2/23/2020,20.86894124,2.036763907,44.13668315
2/24/2020,21.18681234,1.93452538,38.04222107
2/25/2020,21.58473104,2.466917975,33.34431966
2/26/2020,21.99456686,2.922275709,18.4476471
2/27/2020,22.26197713,0.953154841,39.89682515
2/28/2020,15.07992961,3.536591493,79.93680318
2/29/2020,15.06858215,2.52352843,81.70522054
3/1/2020,19.99591471,1.465555002,49.23754374
3/2/2020,21.99013672,1.794795321,47.28131612
3/3/2020,22.40279541,2.510996254,41.55596415
3/4/2020,20.51333516,2.148637095,59.55327352
3/5/2020,14.55324198,1.737715534,81.27222697
3/6/2020,13.10312297,3.157859045,85.46480814
3/7/2020,12.48573203,4.51897385,90.23198446
3/8/2020,13.5932963,2.203842702,88.18674723
3/9/2020,17.0744517,3.464243374,50.4839325
3/10/2020,20.22207031,1.78436489,41.87347412
3/11/2020,19.52802429,2.34935078,54.1523234
3/12/2020,15.91843058,6.409724928,68.7953949
3/13/2020,16.30955404,2.992169346,62.48082479
3/14/2020,18.79883728,1.625057303,52.61685689
3/15/2020,19.92492574,2.320654923,55.71085612
3/16/2020,21.27773946,2.443727151,49.96709188
3/17/2020,22.38604635,2.675080151,46.17518107
3/18/2020,23.31082561,2.529735452,43.81319682
3/19/2020,23.97123108,2.434747185,44.14469401
3/20/2020,23.9209432,1.569414454,44.37347412
3/21/2020,19.97742106,0.96540092,70.02029419
3/22/2020,22.27650859,2.43953537,44.5241801
3/23/2020,23.43889262,2.255234456,48.22812398
3/24/2020,17.3590332,3.976284793,79.46896871
3/25/2020,18.86106771,2.007925292,67.70062764
3/26/2020,21.62030945,2.752799114,54.57224528
3/27/2020,15.43331807,3.339853618,86.95681254
3/28/2020,17.89030355,2.935963926,77.51228332
3/29/2020,21.55777894,2.336053657,50.45809428
3/30/2020,21.03925985,2.679048658,52.67367045
3/31/2020,17.96282349,2.406037747,78.03451538
4/1/2020,20.19902446,1.340511887,71.60168966
4/2/2020,20.19240214,1.670283735,47.13989258
4/3/2020,22.1087738,3.206013274,43.20129394
4/4/2020,24.67996114,2.469265594,37.65505473
4/5/2020,23.93459473,1.642721191,37.42726644
4/6/2020,23.40619303,1.154346871,43.9491272
4/7/2020,19.0568634,3.138786959,67.45635986
4/8/2020,23.55689901,1.803798334,41.72210693
4/9/2020,24.6416158,1.693225709,44.80010986
4/10/2020,24.36293945,2.630911158,46.13131205
4/11/2020,27.03212891,2.016782172,31.38877869
4/12/2020,27.57240194,2.569262351,26.06862386
4/13/2020,28.79600931,2.246506638,34.65886434
4/14/2020,26.28003845,2.653737942,43.03855896
4/15/2020,26.67904053,2.944360629,44.24766541
4/16/2020,26.09530538,1.138900498,49.32200114
4/17/2020,17.19395854,1.729248961,84.13294474
4/18/2020,18.3312673,1.358568553,82.36605326
4/19/2020,23.53107096,0.666838897,51.95093791
4/20/2020,24.46664327,1.416847814,47.63870239
4/21/2020,24.64914349,2.287849504,46.46931966
4/22/2020,26.32266134,2.756038669,36.40800476
4/23/2020,28.3010498,2.952651402,28.70292664
4/24/2020,29.37054342,1.291473325,28.00832113
4/25/2020,27.46139933,1.41856705,37.1127828
4/26/2020,26.9916626,1.269564207,51.56013489
4/27/2020,24.85017293,4.093178834,61.77452087
4/28/2020,24.26443379,1.299353492,67.09266663
4/29/2020,28.16567382,1.714455802,47.07567851
4/30/2020,29.70617065,2.533655277,31.76091512
5/1/2020,31.80826722,1.364908472,25.89772542
5/2/2020,29.88380839,1.544449195,38.54698181
5/3/2020,24.96693827,0.990497177,63.24554443
5/4/2020,27.99677938,1.377295958,42.11331685
5/5/2020,27.43523051,2.304130408,35.90888977
5/6/2020,28.40112203,1.563084164,17.03470866
5/7/2020,28.3790273,2.410090741,22.25743612
5/8/2020,30.5945577,2.66912906,23.12095642
5/9/2020,32.05262146,2.645390365,20.92557271
5/10/2020,30.50524801,1.624361744,30.31445821
5/11/2020,29.0651947,2.542627602,33.66282145
5/12/2020,28.6904541,1.365323609,34.8143514
5/13/2020,30.20753886,1.973948837,32.50740051
5/14/2020,20.58685201,1.570566231,84.42901611
5/15/2020,26.28153382,2.562216216,57.17920939
5/16/2020,30.06781413,1.807112999,35.22099813
5/17/2020,30.50711671,1.700449895,17.55715942
5/18/2020,29.78977865,1.325353434,13.16925049
5/19/2020,29.4623352,3.038084154,16.40729268
5/20/2020,29.13250885,3.331448913,22.32223511
5/21/2020,31.00365601,3.527039751,5.985616048
5/22/2020,32.66303914,1.872512533,3.883005778
5/23/2020,33.10593567,2.003439414,8.63512675
5/24/2020,33.22504577,2.650178267,10.23475647
5/25/2020,33.5303894,2.940224876,4.431101481
5/29/2020,30.27996725,2.961569868,34.18263753
5/30/2020,25.11442464,1.301237962,64.18429057
5/31/2020,27.42404582,2.530112838,52.32805888
6/1/2020,27.054422,1.904295555,54.48008219
6/2/2020,27.00004984,1.784783737,61.70524597
6/3/2020,29.42956441,1.548282412,41.15018209
6/4/2020,30.71419169,0.597665698,35.54875692
6/5/2020,31.3065328,1.672979246,30.00066121
6/6/2020,28.4165741,3.568526249,58.51104736
6/7/2020,30.23319397,1.452015469,52.87905375
6/8/2020,32.49758301,1.931327175,47.65864054
6/9/2020,31.35146992,1.609819622,40.57395935
6/10/2020,31.80546468,1.255709797,38.51397196
6/11/2020,31.86115417,1.477195456,37.73414612
6/12/2020,31.38388978,1.156530494,31.59095764
6/13/2020,31.86589457,2.464403755,25.24775187
6/14/2020,33.61508586,1.796638884,13.82664998
6/19/2020,35.37490235,1.566873357,5.060691834
6/20/2020,35.64376221,1.73803148,7.089233398
6/21/2020,36.55087688,2.14336438,7.484690348
6/22/2020,36.37001952,1.932144749,19.79123433
6/23/2020,35.24690145,2.446826525,37.47235616
6/24/2020,30.23334656,1.089792786,63.23855082
6/25/2020,31.17983907,2.192502031,62.421875
6/26/2020,32.50072633,2.011580695,56.18718465
6/27/2020,33.67892354,2.372203872,48.78178914
